# Process inlet-pressure screening; diagnostic text only
# Rates retain their simulation input basis; no well model is qualified.
rate [kg/hr]	outlet pressure [bara]	water cut [-]	GOR [Sm3/Sm3]	required inlet pressure [bara]	feasible
5000.0	30.0	0.05	300.0	105.078125	true
5000.0	30.0	0.05	1000.0	79.94140625	true
5000.0	50.0	0.05	300.0	141.171875	true
5000.0	50.0	0.05	1000.0	119.90234375	true
10000.0	30.0	0.05	300.0	103.7890625	true
10000.0	30.0	0.05	1000.0	75.4296875	true
10000.0	50.0	0.05	300.0	138.59375	true
10000.0	50.0	0.05	1000.0	105.078125	true
20000.0	30.0	0.05	300.0	112.8125	true
20000.0	30.0	0.05	1000.0	94.12109375	true
20000.0	50.0	0.05	300.0	143.10546875	true
20000.0	50.0	0.05	1000.0	117.32421875	true
